Wall time,Step,Value
1641394169.3070025,1709,-179.03782653808594
1641394180.1332502,1710,-166.288330078125
1641394190.9902742,1711,-159.23410034179688
1641394201.8264506,1712,-166.42654418945312
1641394266.6875107,1718,-164.70664978027344
1641394309.4940763,1722,-171.54800415039062
1641394320.1699905,1723,-176.65478515625
1641394341.6706514,1725,-186.59423828125
1641394395.9268503,1730,-166.6087646484375
1641394481.8029902,1738,-183.75445556640625
1641394492.7265127,1739,-178.38833618164062
1641394535.40474,1743,-174.7891845703125
1641394556.650889,1745,-184.76014709472656
1641394611.105122,1750,-161.31129455566406
1641394643.4396522,1753,-171.20480346679688
1641394654.207275,1754,-163.13807678222656
1641394772.1194735,1765,-179.04940795898438
1641394879.9745417,1775,-154.84742736816406
1641394901.7185307,1777,-158.84498596191406
1641394933.7681243,1780,-183.2239990234375
1641394976.8204308,1784,-179.7577362060547
1641394987.691356,1785,-158.22860717773438
1641394998.4428096,1786,-162.94776916503906
1641395030.6656673,1789,-159.67776489257812
1641395062.920636,1792,-184.8729705810547
1641395105.985829,1796,-167.95516967773438
1641395148.892872,1800,-166.593505859375
1641395170.4248445,1802,-158.76239013671875
1641395353.0927458,1819,-163.12310791015625
1641395396.433852,1823,-149.8069610595703
1641395429.0464802,1826,-183.31365966796875
1641395439.793956,1827,-181.7285919189453
1641395472.0661366,1830,-171.659423828125
1641395493.5223618,1832,-166.34486389160156
1641395536.4384844,1836,-157.61679077148438
1641395558.204047,1838,-176.32962036132812
1641395655.2748544,1847,-162.41090393066406
1641395697.988415,1851,-171.4710693359375
1641395794.2029681,1860,-162.62060546875
1641395848.081162,1865,-158.620849609375
1641395858.8459961,1866,-183.0659942626953
1641395869.5685556,1867,-164.89671325683594
1641395944.8177526,1874,-155.5401611328125
1641396008.979512,1880,-169.8343505859375
1641396041.2235878,1883,-184.5206756591797
1641396073.4826496,1886,-149.1303253173828
1641396094.8784564,1888,-172.22239685058594
1641396169.9760842,1895,-150.876708984375
1641396212.85973,1899,-173.80209350585938
1641396244.9637816,1902,-176.78729248046875
1641396310.0357585,1908,-167.6709747314453
1641396320.877675,1909,-183.30662536621094
1641396331.714167,1910,-179.28271484375
1641396364.2112322,1913,-163.73568725585938
1641396418.3631084,1918,-144.4907989501953
1641396482.8529673,1924,-180.04017639160156
1641396493.7197409,1925,-177.13400268554688
1641396601.6284354,1935,-162.8170928955078
1641396612.5241647,1936,-171.77882385253906
1641396655.6682463,1940,-165.6802978515625
1641396666.3706243,1941,-169.0388946533203
1641396677.1426075,1942,-152.639404296875
1641396709.503156,1945,-181.36495971679688
1641396731.2092578,1947,-154.5503692626953
1641396763.691339,1950,-160.00613403320312
1641396796.1054597,1953,-153.18655395507812
1641396828.4398189,1956,-177.59490966796875
1641396871.590945,1960,-157.19949340820312
1641396882.3735905,1961,-159.15072631835938
1641396904.1207209,1963,-167.2213897705078
1641396914.9928691,1964,-177.05859375
1641396936.688746,1966,-158.2667236328125
1641396947.5875683,1967,-165.2653045654297
1641397054.4354627,1977,-166.1016387939453
1641397075.7690918,1979,-152.77862548828125
1641397096.9581394,1981,-168.3682861328125
1641397161.3100185,1987,-177.3233642578125
1641397172.137421,1988,-164.90797424316406
1641397204.4374208,1991,-176.00636291503906
1641397483.5758235,2017,-184.45851135253906
1641397526.5469499,2021,-169.64488220214844
1641397580.7970858,2026,-180.74957275390625
1641397602.4174342,2028,-160.8484649658203
1641397634.8764567,2031,-179.0251007080078
1641397678.0740497,2035,-184.37286376953125
1641397688.8607173,2036,-157.10629272460938
1641397732.2767427,2040,-170.9765167236328
1641397764.8389215,2043,-150.5946502685547
1641397808.468229,2047,-165.02285766601562
1641397883.2008135,2054,-173.35113525390625
1641397893.8207355,2055,-177.81993103027344
1641397904.4887176,2056,-165.85931396484375
1641398021.763564,2067,-167.67916870117188
1641398032.472836,2068,-171.53668212890625
1641398054.003689,2070,-164.12777709960938
1641398097.2345762,2074,-195.32904052734375
1641398151.1393385,2079,-175.6000518798828
1641398237.0043871,2087,-157.2002716064453
1641398258.484013,2089,-169.1646728515625
1641398279.9226706,2091,-169.4037628173828
1641398322.911216,2095,-153.60064697265625
1641398344.3768482,2097,-162.00660705566406
1641398355.1808805,2098,-187.0412139892578
1641398376.5814488,2100,-184.59408569335938
1641398408.7322729,2103,-172.5437774658203
1641398430.1640477,2105,-169.46231079101562
1641398472.9570978,2109,-154.44369506835938
1641398483.6861708,2110,-171.68984985351562
1641398526.9344518,2114,-167.6561737060547
1641398537.7941606,2115,-170.9071502685547
1641398580.922563,2119,-177.40374755859375
1641398591.7102225,2120,-166.30905151367188
1641398624.305212,2123,-164.4989471435547
1641398635.1864839,2124,-156.4856414794922
1641398667.6585433,2127,-153.20045471191406
1641398764.5176094,2136,-163.6497802734375
1641398796.904366,2139,-150.75515747070312
1641398905.0196211,2149,-166.57272338867188
1641399012.3985574,2159,-152.8526611328125
1641399044.6367915,2162,-161.4055938720703
1641399120.339674,2169,-166.17759704589844
1641399196.1777112,2176,-174.38787841796875
1641399314.531378,2187,-155.65003967285156
1641399335.8950174,2189,-173.05026245117188
1641399389.7349172,2194,-168.99916076660156
1641399443.5831056,2199,-171.85890197753906
1641399465.0758252,2201,-162.52528381347656
1641399486.767182,2203,-174.13807678222656
1641399551.6232324,2209,-182.27528381347656
1641399573.2163398,2211,-173.64398193359375
1641399605.7006712,2214,-165.74966430664062
1641399616.5513344,2215,-162.85293579101562
1641399680.8071637,2221,-163.218505859375
1641399723.6993182,2225,-169.38235473632812
1641399842.257153,2236,-167.34547424316406
1641399874.4256277,2239,-154.05450439453125
1641399906.614916,2242,-170.697265625
1641399927.963844,2244,-162.2933349609375
1641400068.311865,2257,-147.98414611816406
1641400143.855882,2264,-161.1875
1641400175.919098,2267,-175.7959747314453
1641400272.4905708,2276,-168.75587463378906
1641400326.0215898,2281,-157.15260314941406
1641400444.004059,2292,-173.09869384765625
1641400529.3101447,2300,-155.74952697753906
1641400582.6711588,2305,-171.58567810058594
1641400593.3353617,2306,-167.5264129638672
1641400647.623072,2311,-159.04469299316406
1641400701.462666,2316,-163.4766387939453
1641400733.6133125,2319,-165.683349609375
1641400787.075476,2324,-171.50662231445312
1641400873.088338,2332,-179.66998291015625
1641400905.1511772,2335,-163.0279998779297
1641400958.4832075,2340,-172.68099975585938
1641400979.7296772,2342,-163.8628692626953
1641400990.3702457,2343,-185.92037963867188
1641401001.1022954,2344,-188.3009033203125
1641401022.7480152,2346,-174.4506378173828
1641401087.1270804,2352,-174.80067443847656
1641401140.4464986,2357,-168.07354736328125
1641401162.012436,2359,-175.51953125
1641401290.2354662,2371,-170.09698486328125
1641401311.5347097,2373,-177.93505859375
1641401364.5499144,2378,-152.78457641601562
1641401429.0998154,2384,-187.66859436035156
1641401483.0747476,2389,-148.42555236816406
1641401504.6954567,2391,-175.1128692626953
1641401526.3954105,2393,-169.70333862304688
1641401537.259754,2394,-166.35806274414062
1641401569.7654874,2397,-178.49600219726562
1641401580.821131,2398,-167.16798400878906
1641401763.90421,2415,-178.50491333007812
1641401902.3340282,2428,-160.1752471923828
1641401934.608772,2431,-177.58438110351562
1641401977.5472724,2435,-157.1927947998047
1641401988.3759236,2436,-178.3926239013672
1641402020.8003478,2439,-165.4068145751953
1641402042.251633,2441,-161.87359619140625
1641402053.0295837,2442,-162.2705535888672
1641402182.8626132,2454,-194.9636993408203
1641402268.6519008,2462,-178.49404907226562
1641402290.3974495,2464,-161.60887145996094
1641402301.1828172,2465,-163.7460174560547
1641402344.4036088,2469,-154.533935546875
